time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC_true,SOC_est,SOC_open,m_H2_cumul_kg,H2_eq_kg
76,37.4,8.135238651425091,0.0,8.135238651425091,0.5954007581636952,0.5962904260487342,0.594586033699852,0.0,0.28270105892538666
77,38.5,7.912405566510447,0.0,7.912405566510447,0.595272982558454,0.59616818639632,0.5944490359410596,0.0,0.28270105892538666
78,39.3,5.827631969650196,0.0,5.827631969650196,0.5951487166172192,0.5938773872655195,0.5943128447985101,0.0,0.28270105892538666
79,39.5,2.561855664628115,0.0,2.561855664628115,0.5950572678612918,0.5957996021276373,0.5942051022244961,0.0,0.28270105892538666
80,39.0,0.7583065843621488,0.0,0.7583065843621488,0.5950171185864694,0.5967768335593376,0.5941571510149438,0.0,0.28270105892538666
81,38.5,0.0,0.0,0.0,0.5950052429276271,0.5973632258784901,0.5941368716940744,0.0,0.28270105892538666
82,37.3,0.0,0.0,0.0,0.5950052429276271,0.5938638087745369,0.5941225422619104,0.0,0.28270105892538666
83,37.0,1.6133122237463846,0.0,1.6133122237463846,0.5950052429276271,0.5955867518599957,0.5941087551059958,0.0,0.28270105892538666
84,36.7,0.4119861045762856,0.0,0.4119861045762856,0.5949799686121944,0.5995138409728036,0.5940700861790075,0.0,0.28270105892538666
85,35.9,0.0,0.0,0.0,0.5949735174634703,0.5946737718816633,0.5940532055528278,0.0,0.28270105892538666
86,35.3,0.0,0.0,0.0,0.5949735174634703,0.5930108589987999,0.5940445653151323,0.0,0.28270105892538666
87,34.6,0.33521171894528445,0.0,0.33521171894528445,0.5949735174634703,0.5951343594754345,0.5940336683754363,0.0,0.28270105892538666
88,34.2,0.0,0.0,0.0,0.5949682686556715,0.5969105034955345,0.5940165398709727,0.0,0.28270105892538666
89,31.9,0.0,0.0,0.0,0.5949682686556715,0.5988987879804168,0.5940053926434953,0.0,0.28270105892538666
90,27.3,0.0,0.0,0.0,0.5949682686556715,0.6024200378324236,0.5939950166902542,0.0,0.28270105892538666
91,22.0,0.0,0.0,0.0,0.5949682686556715,0.595342607685617,0.5939821676142882,0.0,0.28270105892538666
92,17.0,0.0,0.0,0.0,0.5949682686556715,0.5961866845751274,0.5939740312045606,0.0,0.28270105892538666
93,14.2,0.0,0.0,0.0,0.5949682686556715,0.5969804032708367,0.5939635408234087,0.0,0.28270105892538666
94,12.0,0.0,0.0,0.0,0.5949682686556715,0.5954293263903447,0.5939511151633405,0.0,0.28270105892538666
95,9.1,0.0,0.0,0.0,0.5949682686556715,0.5916455659433099,0.5939423562570019,0.0,0.28270105892538666
96,5.8,0.0,0.0,0.0,0.5949682686556715,0.5958810094578867,0.593932485465202,0.0,0.28270105892538666
97,3.6,0.0,0.0,0.0,0.5949682686556715,0.592401893467991,0.5939207796492462,0.0,0.28270105892538666
98,2.2,0.0,0.0,0.0,0.5949682686556715,0.5950404226001257,0.5939091874800076,0.0,0.28270105892538666
99,0.0,0.0,0.0,0.0,0.5949682686556715,0.5953397882467109,0.5939005315284416,0.0,0.28270105892538666
100,0.0,0.0,0.0,0.0,0.5949682686556715,0.5924672074869848,0.5938892587264459,0.0,0.28270105892538666
101,0.0,0.0,0.0,0.0,0.5949682686556715,0.5954620782151918,0.593877153761556,0.0,0.28270105892538666
102,0.0,0.0,0.0,0.0,0.5949682686556715,0.5975290119568718,0.5938630341747695,0.0,0.28270105892538666
103,0.0,0.0,0.0,0.0,0.5949682686556715,0.5936247626461126,0.5938557499230138,0.0,0.28270105892538666
104,0.0,0.0,0.0,0.0,0.5949682686556715,0.5957177585058122,0.5938432081583827,0.0,0.28270105892538666
105,0.0,0.0,0.0,0.0,0.5949682686556715,0.6040112857987097,0.5938306663592541,0.0,0.28270105892538666
106,0.0,0.0,0.0,0.0,0.5949682686556715,0.6003997115190622,0.5938179694411688,0.0,0.28270105892538666
107,0.0,0.0,0.0,0.0,0.5949682686556715,0.5981584787452003,0.5938042083251591,0.0,0.28270105892538666
108,0.0,0.0,0.0,0.0,0.5949682686556715,0.5977021988963919,0.5937939729619498,0.0,0.28270105892538666
109,0.0,0.0,0.0,0.0,0.5949682686556715,0.5952818883881862,0.5937850085875458,0.0,0.28270105892538666
110,0.0,0.0,0.0,0.0,0.5949682686556715,0.5952508942205639,0.593775245708512,0.0,0.28270105892538666
111,0.0,0.0,0.0,0.0,0.5949682686556715,0.5907807794270467,0.5937577049902713,0.0,0.28270105892538666
112,0.0,0.0,0.0,0.0,0.5949682686556715,0.5899614006447971,0.5937446876008535,0.0,0.28270105892538666
113,0.0,0.0,0.0,0.0,0.5949682686556715,0.59588431810306,0.5937348874115919,0.0,0.28270105892538666
114,0.0,0.0,0.0,0.0,0.5949682686556715,0.5927872875789346,0.5937235977448722,0.0,0.28270105892538666
115,0.0,0.0,0.0,0.0,0.5949682686556715,0.5958352158394655,0.593714473588509,0.0,0.28270105892538666
116,0.0,0.0,0.0,0.0,0.5949682686556715,0.5957325876887151,0.5937053912735971,0.0,0.28270105892538666
117,0.0,0.0,0.0,0.0,0.5949682686556715,0.5937143319526891,0.5936941535740419,0.0,0.28270105892538666
118,0.0,0.0,0.0,0.0,0.5949682686556715,0.5960192111529096,0.5936770870626826,0.0,0.28270105892538666
