time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC,m_H2_cumul_kg,H2_eq_kg
1042,76.7,9.365563783283848,10.169491525423728,-0.80392774213988,0.5876219218833676,0.08707923283414559,0.2975864553390647
1043,76.7,9.365563783283722,10.169491525423728,-0.8039277421400062,0.587634512063332,0.08724815175306451,0.2975864553390647
1044,76.6,9.34129446242943,10.169491525423728,-0.828197062994299,0.5876471022298955,0.08741707067198343,0.2975864553390647
1045,76.6,9.833835614692878,10.677966101694915,-0.8441304870020367,0.5876600723350596,0.08759265595626436,0.2975864553390647
1046,76.6,9.341294462429554,10.677966101694915,-1.3366716392653615,0.5876732918698621,0.0877682412405453,0.2975864553390647
1047,76.5,9.317072337963012,10.677966101694915,-1.3608937637319034,0.5876942207456796,0.08794382652482625,0.2975864553390647
1048,76.5,9.80897048611111,10.677966101694915,-0.8689956155838043,0.5877155286357634,0.08811941180910719,0.2975864553390647
1049,76.5,9.317072337963012,10.677966101694915,-1.3608937637319034,0.5877291373735795,0.08829499709338813,0.2975864553390647
1050,76.4,9.292897348270131,11.1864406779661,-1.8935433296959694,0.5877504452007928,0.08847711629868614,0.2975864553390647
1051,76.4,9.784152492303004,11.1864406779661,-1.402288185663096,0.587780086526096,0.08865923550398415,0.2975864553390647
1052,76.4,9.784152492303004,11.1864406779661,-1.402288185663096,0.587802042020051,0.08884135470928216,0.2975864553390647
1053,76.4,9.784152492303004,11.694915254237287,-1.9107627619342828,0.5878239974732733,0.0890298792994461,0.2975864553390647
1054,76.4,9.784152492303004,11.694915254237287,-1.9107627619342828,0.587853907959604,0.08921840388961003,0.2975864553390647
1055,76.4,9.784152492303004,11.694915254237287,-1.9107627619342828,0.5878838183703686,0.08940692847977397,0.2975864553390647
1056,76.4,10.275407636335878,11.694915254237287,-1.4195076179014094,0.5879137287055677,0.08959545306993791,0.2975864553390647
1057,76.5,10.30086863425921,12.203389830508474,-1.902521196249264,0.5879359533996804,0.0897902582647431,0.2975864553390647
1058,76.5,9.80897048611111,12.203389830508474,-2.394419344397363,0.5879657346908359,0.0899850634595483,0.2975864553390647
1059,76.5,10.30086863425921,12.203389830508474,-1.902521196249264,0.5880032085505281,0.0901798686543535,0.2975864553390647
1060,76.6,10.326376766956203,12.711864406779661,-2.3854876398234577,0.5880329896725045,0.09038083328457859,0.2975864553390647
1061,76.6,10.326376766956331,12.711864406779661,-2.38548763982333,0.5880703236667435,0.09058179791480367,0.2975864553390647
1062,76.7,10.84511625241963,13.220338983050848,-2.3752227306312186,0.5881076575432984,0.09078880428423042,0.2975864553390647
1063,76.8,10.871361843621363,13.220338983050848,-2.3489771394294845,0.5881448308038322,0.09099581065365717,0.2975864553390647
1064,76.9,10.897654754439138,13.220338983050848,-2.3226842286117098,0.5881815935766502,0.09120281702308393,0.2975864553390647
1065,77.0,10.923995046486782,13.220338983050848,-2.2963439365640657,0.5882179451171516,0.09140982339251068,0.2975864553390647
1066,77.1,10.950382781378629,13.220338983050848,-2.269956201672219,0.5882538846796919,0.09161682976193743,0.2975864553390647
1067,77.2,10.976818020728576,13.220338983050848,-2.243520962322272,0.5882894115175826,0.09182383613136418,0.2975864553390647
1068,77.3,11.500343007220676,13.220338983050848,-1.7199959758301713,0.5883245248830911,0.09203084250079092,0.2975864553390647
1069,77.5,11.55473757096858,13.220338983050848,-1.6656014120822675,0.5883514500646095,0.09223784887021767,0.2975864553390647
1070,77.6,11.582006448407231,13.220338983050848,-1.6383325346436166,0.5883775242454659,0.09244485523964442,0.2975864553390647
1071,77.8,12.136944904130525,13.220338983050848,-1.083394078920323,0.5884031717662755,0.09265186160907117,0.2975864553390647
1072,78.0,11.691560699588457,13.220338983050848,-1.5287782834623904,0.5884201356193739,0.09285886797849793,0.2975864553390647
