time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC_true,SOC_est,SOC_open,m_H2_cumul_kg,H2_eq_kg
667,32.0,2.516495046486816,0.0,2.516495046486816,0.5758691893623717,0.5802732865913844,0.5683849468257378,0.0009859823966499657,0.13473220852730938
668,32.0,2.516495046486816,0.0,2.516495046486816,0.5758296874806907,0.576464480127715,0.5683339208677869,0.0009859823966499657,0.13473220852730938
669,32.0,2.516495046486816,0.0,2.516495046486816,0.5757901854666094,0.5753217832930669,0.5682850116388821,0.0009859823966499657,0.13473220852730938
670,32.0,0.0,0.0,0.0,0.5757506833201266,0.5760173910501312,0.5682354766502286,0.0009859823966499657,0.13473220852730938
671,29.25,0.0,0.0,0.0,0.5757506833201266,0.5758377313733346,0.5682239195002812,0.0009859823966499657,0.13473220852730938
672,26.5,0.0,0.0,0.0,0.5757506833201266,0.578497305310854,0.5682115946720319,0.0009859823966499657,0.13473220852730938
673,23.75,0.0,0.0,0.0,0.5757506833201266,0.5732122581875203,0.5681978459105446,0.0009859823966499657,0.13473220852730938
674,21.0,0.0,0.0,0.0,0.5757506833201266,0.5770896304239156,0.5681938290248082,0.0009859823966499657,0.13473220852730938
675,18.25,0.0,0.0,0.0,0.5757506833201266,0.5756545597957857,0.5681865147989704,0.0009859823966499657,0.13473220852730938
676,15.5,0.0,0.0,0.0,0.5757506833201266,0.5715966733714094,0.5681786540018205,0.0009859823966499657,0.13473220852730938
677,12.75,0.0,0.0,0.0,0.5757506833201266,0.5761792398617009,0.5681660388275755,0.0009859823966499657,0.13473220852730938
678,10.0,0.0,0.0,0.0,0.5757506833201266,0.5699561401787456,0.5681565291342442,0.0009859823966499657,0.13473220852730938
679,6.7,0.0,0.0,0.0,0.5757506833201266,0.5748251096150329,0.5681469353688227,0.0009859823966499657,0.13473220852730938
680,3.4,0.0,0.0,0.0,0.5757506833201266,0.5758773543942683,0.5681399323454026,0.0009859823966499657,0.13473220852730938
681,0.0,0.0,0.0,0.0,0.5757506833201266,0.5771118844177362,0.5681288637616503,0.0009859823966499657,0.13473220852730938
682,0.0,0.0,0.0,0.0,0.5757506833201266,0.5739487768597478,0.5681174204828491,0.0009859823966499657,0.13473220852730938
683,0.0,0.0,0.0,0.0,0.5757506833201266,0.574818028995745,0.5681029855620111,0.0009859823966499657,0.13473220852730938
684,0.0,0.0,0.0,0.0,0.5757506833201266,0.5733199872130325,0.5680919502968431,0.0009859823966499657,0.13473220852730938
685,0.0,0.0,0.0,0.0,0.5757506833201266,0.5729610220574507,0.5680820705253187,0.0009859823966499657,0.13473220852730938
686,0.0,0.0,0.0,0.0,0.5757506833201266,0.5787866948327152,0.5680714398199296,0.0009859823966499657,0.13473220852730938
687,0.0,0.0,4.576271186440678,-4.576271186440678,0.5757506833201266,0.5730108390070442,0.5680641395453266,0.0010855399187738595,0.13473220852730938
688,0.0,0.0,4.576271186440678,-4.576271186440678,0.5758223161619893,0.5744297186733902,0.5681205746918352,0.0011850974408977532,0.13473220852730938
689,0.0,0.0,0.0,0.0,0.575893948570912,0.5777832178958172,0.5681829545250319,0.0011850974408977532,0.13473220852730938
690,0.0,0.0,0.0,0.0,0.575893948570912,0.5806602857695232,0.5681735256793089,0.0011850974408977532,0.13473220852730938
691,0.0,0.0,4.576271186440678,-4.576271186440678,0.575893948570912,0.5762699101266996,0.5681605314407774,0.0012846549630216471,0.13473220852730938
692,0.0,0.0,4.576271186440678,-4.576271186440678,0.5759655805469025,0.5746437097189072,0.5682150597828421,0.0013842124851455408,0.13473220852730938
693,0.0,0.0,4.576271186440678,-4.576271186440678,0.5760372120899686,0.5762535696609422,0.5682735188387638,0.0014837700072694345,0.13473220852730938
694,0.0,0.0,0.0,0.0,0.5761088432001181,0.5796943655535746,0.5683304228897761,0.0014837700072694345,0.13473220852730938
695,0.0,0.0,4.576271186440678,-4.576271186440678,0.5761088432001181,0.5755075088577961,0.5683192228782509,0.0015833275293933285,0.13473220852730938
696,0.0,0.0,4.576271186440678,-4.576271186440678,0.576180473877359,0.5743886755067708,0.5683784647439836,0.0016828850515172222,0.13473220852730938
697,0.0,0.0,4.576271186440678,-4.576271186440678,0.576252104121699,0.5759476151947902,0.5684333911348582,0.0017824425736411161,0.13473220852730938
698,0.0,0.0,4.576271186440678,-4.576271186440678,0.5763237339331461,0.5765982391774096,0.5684949246172811,0.0018820000957650098,0.13473220852730938
699,0.0,0.0,4.576271186440678,-4.576271186440678,0.5763953633117079,0.5742078456609092,0.5685591849022028,0.0019815576178889038,0.13473220852730938
700,0.0,0.0,4.576271186440678,-4.576271186440678,0.5764669922573924,0.5742243317473804,0.5686163682536985,0.0020811151400127975,0.13473220852730938
701,0.0,0.0,4.576271186440678,-4.576271186440678,0.5765386207702075,0.5770104165770473,0.5686797937414655,0.002180672662136691,0.13473220852730938
702,0.0,0.0,4.576271186440678,-4.576271186440678,0.5766102488501608,0.5783490020389142,0.5687370170876559,0.002280230184260585,0.13473220852730938
703,3.0,1.3620596707818928,4.576271186440678,-3.2142115156587856,0.5766818764972603,0.5754432051275697,0.568794766824517,0.0023797877063844786,0.13473220852730938
704,6.0,2.7257829218106995,4.576271186440678,-1.8504882646299787,0.5767322121015988,0.5797404120238431,0.5688379407918186,0.0024793452285083724,0.13473220852730938
705,9.0,4.092833333333333,4.576271186440678,-0.4834378531073451,0.576761206928144,0.5771085689256356,0.5688567208401385,0.0025789027506322665,0.13473220852730938
706,12.0,5.464874485596708,4.576271186440678,0.8886032991560295,0.5767687858933956,0.5781401365989822,0.5688494992661072,0.0026784602727561602,0.13473220852730938
707,15.0,3.9500514403292204,3.0508474576271185,0.8992039827021019,0.5767548474490946,0.5821425914288415,0.5688231833557725,0.002757407641177213,0.13473220852730938
708,15.0,1.0565329218106998,3.0508474576271185,-1.9943145358164187,0.5767407426484252,0.5805605841308398,0.5687997549946321,0.0028363550095982654,0.13473220852730938
709,15.0,3.1784465020576116,4.576271186440678,-1.3978246843830666,0.576771989243438,0.5785602125190471,0.5688197321087424,0.002935912531722159,0.13473220852730938
710,17.2,6.090258487120863,4.576271186440678,1.513987300680185,0.5767938952683032,0.5784967845412035,0.5688262812768675,0.0030354700538460532,0.13473220852730938
711,19.4,6.885286141137021,3.0508474576271185,3.8344386835099025,0.5767701413079601,0.5797699205842715,0.5687899209385272,0.003114417422267106,0.13473220852730938
712,21.6,7.686099111111111,4.576271186440678,3.109827924670433,0.5767099243026195,0.5757701949727059,0.5687196065796575,0.0032139749443909995,0.13473220852730938
713,23.8,8.493353463801247,4.576271186440678,3.917082277360569,0.5766611006724596,0.5718997572587667,0.5686625740861477,0.0033135324665148932,0.13473220852730938
714,26.0,9.307705265965554,4.576271186440678,4.731434079524876,0.5765995832068459,0.5726189336957005,0.5685842338229509,0.003413089988638787,0.13473220852730938
715,28.2,10.129810584362138,3.0508474576271185,7.07896312673502,0.5765252517902103,0.5746904856103194,0.568499405888603,0.00349203735705984,0.13473220852730938
716,30.4,10.960325485749125,3.0508474576271185,7.909478028122007,0.5764139349169429,0.5777764016869511,0.5683761239967307,0.0035709847254808925,0.13473220852730938
717,32.6,12.219144720012185,3.0508474576271185,9.168297262385067,0.5762895154709086,0.5754646929857273,0.5682382032354508,0.003649932093901945,0.13473220852730938
718,35.0,8.225893537570485,3.0508474576271185,5.175046079943367,0.5761452196510272,0.5766283056639863,0.5680832605314411,0.0037288794623229976,0.13473220852730938
719,35.0,2.8246589696692577,0.0,2.8246589696692577,0.5760639014405954,0.579944264909187,0.567991522018582,0.0037288794623229976,0.13473220852730938
720,35.0,7.044373475842101,0.0,7.044373475842101,0.576019557525422,0.5789447217270048,0.5679347031729874,0.0037288794623229976,0.13473220852730938
721,36.875,11.918552950681892,0.0,11.918552950681892,0.5759087813442525,0.5795827080042097,0.5678109745438494,0.0037288794623229976,0.13473220852730938
722,38.75,12.58100548726613,0.0,12.58100548726613,0.5757209860962316,0.5740332606585438,0.5676115653470544,0.0037288794623229976,0.13473220852730938
