Time_s,TrueAngle,TrueAngVel,MeasAngle,EstAngle,EstAngVel,AngleErr,AngVelErr
1.4900,-0.188720,2.315626,-0.226299,-0.205182,2.270613,-0.016462,-0.045013
1.5000,-0.165564,2.331714,-0.219596,-0.193237,2.260522,-0.027673,-0.071192
1.5100,-0.142247,2.345550,-0.171254,-0.170812,2.276634,-0.028565,-0.068916
1.5200,-0.118791,2.357112,-0.097533,-0.133403,2.328851,-0.014612,-0.028262
1.5300,-0.095220,2.366381,-0.104734,-0.108555,2.343597,-0.013335,-0.022784
1.5400,-0.071556,2.373342,-0.152142,-0.104547,2.301735,-0.032991,-0.071606
1.5500,-0.047823,2.377982,-0.131212,-0.095931,2.272506,-0.048108,-0.105476
1.5600,-0.024043,2.380294,-0.086168,-0.076963,2.269936,-0.052920,-0.110358
1.5700,-0.000240,2.380272,0.035986,-0.028104,2.342700,-0.027864,-0.037572
1.5800,0.023563,2.377915,-0.064661,-0.022064,2.298262,-0.045627,-0.079653
1.5900,0.047342,2.373226,0.183671,0.053891,2.434766,0.006549,0.061541
1.6000,0.071074,2.366210,0.041212,0.067506,2.399364,-0.003568,0.033154
1.6100,0.094736,2.356877,0.190118,0.120085,2.464084,0.025348,0.107206
1.6200,0.118305,2.345241,0.092425,0.129566,2.410755,0.011261,0.065514
1.6300,0.141758,2.331317,0.132807,0.147625,2.380061,0.005868,0.048745
1.6400,0.165071,2.315126,0.117197,0.155707,2.322680,-0.009364,0.007555
1.6500,0.188222,2.296690,0.291966,0.211697,2.389727,0.023475,0.093037
1.6600,0.211189,2.276038,0.471002,0.303831,2.542962,0.092642,0.266924
1.6700,0.233949,2.253198,0.260067,0.309204,2.459217,0.075254,0.206019
1.6800,0.256481,2.228203,0.330567,0.332860,2.424485,0.076379,0.196281
1.6900,0.278763,2.201089,0.204822,0.312959,2.275711,0.034196,0.074622
1.7000,0.300774,2.171894,0.299883,0.325328,2.216328,0.024554,0.044434
1.7100,0.322493,2.140659,0.394994,0.361263,2.218438,0.038770,0.077778
1.7200,0.343900,2.107428,0.209590,0.333043,2.050879,-0.010857,-0.056549
1.7300,0.364974,2.072245,0.389745,0.364045,2.043964,-0.000929,-0.028281
1.7400,0.385696,2.035158,0.326984,0.367813,1.963750,-0.017883,-0.071408
1.7500,0.406048,1.996217,0.376975,0.384413,1.918631,-0.021635,-0.077586
1.7600,0.426010,1.955473,0.349504,0.387915,1.839213,-0.038095,-0.116260
1.7700,0.445565,1.912979,0.494197,0.431791,1.866430,-0.013774,-0.046549
1.7800,0.464695,1.868788,0.474976,0.457565,1.841982,-0.007129,-0.026806
1.7900,0.483383,1.822956,0.362689,0.443133,1.711384,-0.040249,-0.111572
1.8000,0.501612,1.775538,0.675544,0.522678,1.829997,0.021066,0.054459
1.8100,0.519367,1.726592,0.355817,0.487284,1.639358,-0.032083,-0.087234
1.8200,0.536633,1.676176,0.398056,0.473048,1.511981,-0.063586,-0.164194
1.8300,0.553395,1.624346,0.559206,0.508769,1.519456,-0.044626,-0.104890
1.8400,0.569639,1.571163,0.586912,0.542220,1.517745,-0.027419,-0.053417
1.8500,0.585350,1.516683,0.507723,0.542991,1.428016,-0.042359,-0.088668
1.8600,0.600517,1.460967,0.551954,0.555729,1.371874,-0.044788,-0.089094
1.8700,0.615127,1.404073,0.682957,0.602370,1.404743,-0.012757,0.000670
1.8800,0.629167,1.346059,0.636225,0.622163,1.362778,-0.007005,0.016719
1.8900,0.642628,1.286984,0.597553,0.624699,1.275211,-0.017929,-0.011773
1.9000,0.655498,1.226906,0.747292,0.669314,1.300028,0.013816,0.073123
1.9100,0.667767,1.165881,0.618596,0.663830,1.189381,-0.003937,0.023499
1.9200,0.679426,1.103969,0.646542,0.667258,1.105526,-0.012168,0.001557
1.9300,0.690465,1.041224,0.748660,0.698722,1.097316,0.008257,0.056092
1.9400,0.700878,0.977703,0.644797,0.690866,0.983619,-0.010012,0.005915
1.9500,0.710655,0.913462,0.576446,0.664649,0.825305,-0.046006,-0.088157
1.9600,0.719789,0.848555,0.803389,0.710764,0.863538,-0.009025,0.014983
1.9700,0.728275,0.783036,0.537032,0.666483,0.659427,-0.061792,-0.123610
1.9800,0.736105,0.716959,0.588828,0.648630,0.533810,-0.087475,-0.183149
1.9900,0.743275,0.650377,0.783978,0.691694,0.573200,-0.051581,-0.077177
2.0000,0.749779,0.583343,0.706711,0.700120,0.517141,-0.049658,-0.066202
2.0100,0.755612,0.515906,0.786432,0.728836,0.515360,-0.026776,-0.000546
2.0200,0.760771,0.448120,0.631341,0.704204,0.371088,-0.056567,-0.077032
2.0300,0.765252,0.380034,0.723359,0.712397,0.319005,-0.052856,-0.061029
2.0400,0.769053,0.311698,0.947456,0.782872,0.431754,0.013819,0.120056
2.0500,0.772170,0.243162,0.898419,0.819467,0.447250,0.047298,0.204088
2.0600,0.774601,0.174476,0.587132,0.755217,0.193582,-0.019384,0.019106
2.0700,0.776346,0.105687,0.798443,0.769137,0.157798,-0.007209,0.052111
2.0800,0.777403,0.036845,0.774414,0.771788,0.092246,-0.005615,0.055401
2.0900,0.777771,-0.032002,0.887299,0.805969,0.111611,0.028197,0.143613
2.1000,0.777451,-0.100807,0.798387,0.804560,0.034045,0.027109,0.134851
2.1100,0.776443,-0.169519,0.502038,0.716994,-0.269218,-0.059449,-0.099699
2.1200,0.774748,-0.238093,0.911580,0.771564,-0.182134,-0.003184,0.055959
2.1300,0.772367,-0.306480,0.909372,0.810270,-0.143279,0.037903,0.163201
2.1400,0.769302,-0.374630,0.792055,0.803966,-0.227086,0.034664,0.147544
2.1500,0.765556,-0.442498,0.705405,0.773747,-0.371427,0.008191,0.071071
2.1600,0.761131,-0.510032,0.568261,0.711466,-0.594468,-0.049665,-0.084436
2.1700,0.756031,-0.577186,0.682870,0.698947,-0.675288,-0.057084,-0.098102
2.1800,0.750259,-0.643909,0.709146,0.697114,-0.724756,-0.053145,-0.080847
2.1900,0.743820,-0.710152,0.720502,0.698758,-0.763584,-0.045062,-0.053432
2.2000,0.736718,-0.775866,0.865845,0.741830,-0.692396,0.005111,0.083470
2.2100,0.728960,-0.841000,0.840320,0.765497,-0.677399,0.036538,0.163601
2.2200,0.720550,-0.905503,0.540096,0.695278,-0.911936,-0.025272,-0.006433
2.2300,0.711495,-0.969323,0.676252,0.683283,-0.981439,-0.028211,-0.012116
2.2400,0.701801,-1.032410,0.763433,0.699576,-0.973682,-0.002225,0.058728
2.2500,0.691477,-1.094710,0.889015,0.747638,-0.883800,0.056161,0.210910
2.2600,0.680530,-1.156172,0.642800,0.710943,-1.022961,0.030413,0.133210
2.2700,0.668968,-1.216741,0.684926,0.696132,-1.098013,0.027163,0.118728
2.2800,0.656801,-1.276363,0.779592,0.712557,-1.087710,0.055756,0.188654
2.2900,0.644037,-1.334985,0.520313,0.649051,-1.289243,0.005013,0.045742
2.3000,0.630688,-1.392552,0.780004,0.677899,-1.237532,0.047211,0.155020
2.3100,0.616762,-1.449010,0.641111,0.658440,-1.316434,0.041678,0.132576
2.3200,0.602272,-1.504301,0.540501,0.614874,-1.454990,0.012602,0.049311
2.3300,0.587229,-1.558372,0.729851,0.637907,-1.411522,0.050678,0.146850
2.3400,0.571645,-1.611167,0.430103,0.567594,-1.615914,-0.004051,-0.004747
2.3500,0.555533,-1.662629,0.651691,0.580523,-1.590855,0.024989,0.071775
2.3600,0.538907,-1.712704,0.595760,0.573650,-1.619420,0.034743,0.093285
2.3700,0.521780,-1.761336,0.551396,0.555698,-1.675637,0.033918,0.085699
2.3800,0.504167,-1.808470,0.473691,0.520013,-1.775187,0.015846,0.033284
2.3900,0.486082,-1.854052,0.498955,0.501302,-1.824661,0.015220,0.029391
2.4000,0.467542,-1.898027,0.630839,0.525922,-1.758150,0.058380,0.139877
2.4100,0.448561,-1.940342,0.443487,0.489530,-1.854698,0.040969,0.085644
2.4200,0.429158,-1.980944,0.477061,0.472746,-1.894376,0.043588,0.086568
2.4300,0.409348,-2.019783,0.454026,0.453867,-1.936980,0.044519,0.082803
2.4400,0.389151,-2.056808,0.321983,0.401866,-2.062986,0.012715,-0.006177
2.4500,0.368583,-2.091971,0.403745,0.387764,-2.082321,0.019181,0.009650
2.4600,0.347663,-2.125224,0.388602,0.373222,-2.101014,0.025560,0.024210
2.4700,0.326411,-2.156521,0.437347,0.376900,-2.070597,0.050489,0.085924
2.4800,0.304845,-2.185820,0.342215,0.352140,-2.115148,0.047295,0.070672
2.4900,0.282987,-2.213079,0.322681,0.328580,-2.153115,0.045593,0.059963
2.5000,0.260856,-2.238258,0.310871,0.308157,-2.179747,0.047301,0.058511
2.5100,0.238474,-2.261320,0.342651,0.302681,-2.165044,0.064207,0.096276
2.5200,0.215861,-2.282232,0.338734,0.297760,-2.148802,0.081900,0.133430
2.5300,0.193038,-2.300962,0.086696,0.221310,-2.317704,0.028272,-0.016743
2.5400,0.170029,-2.317480,0.307833,0.229937,-2.254655,0.059908,0.062825
2.5500,0.146854,-2.331762,0.109986,0.179152,-2.347770,0.032298,-0.016007
2.5600,0.123536,-2.343785,-0.006879,0.108550,-2.484675,-0.014986,-0.140890
2.5700,0.100098,-2.353530,0.047138,0.073104,-2.520192,-0.026995,-0.166663
2.5800,0.076563,-2.360979,0.029044,0.042435,-2.538947,-0.034128,-0.177967
2.5900,0.052953,-2.366122,0.008111,0.014456,-2.547252,-0.038498,-0.181130
2.6000,0.029292,-2.368948,-0.003683,-0.008891,-2.540639,-0.038183,-0.171691
2.6100,0.005603,-2.369452,-0.055050,-0.040313,-2.552740,-0.045915,-0.183288
2.6200,-0.018092,-2.367632,-0.071649,-0.067524,-2.550576,-0.049432,-0.182943
2.6300,-0.041768,-2.363490,0.086471,-0.041001,-2.407230,0.000767,-0.043740
2.6400,-0.065403,-2.357030,-0.021965,-0.052579,-2.368579,0.012825,-0.011548
2.6500,-0.088973,-2.348262,0.071723,-0.033370,-2.250431,0.055603,0.097831
2.6600,-0.112456,-2.337197,0.087983,-0.014177,-2.137367,0.098279,0.199830
2.6700,-0.135828,-2.323851,-0.221544,-0.089461,-2.272881,0.046367,0.050970
2.6800,-0.159067,-2.308243,-0.166514,-0.127936,-2.302461,0.031131,0.005782
2.6900,-0.182149,-2.290396,-0.196002,-0.164016,-2.321327,0.018133,-0.030931
2.7000,-0.205053,-2.270336,-0.210106,-0.193860,-2.320103,0.011193,-0.049767
2.7100,-0.227756,-2.248090,-0.362048,-0.259087,-2.407395,-0.031331,-0.159305
2.7200,-0.250237,-2.223692,-0.055211,-0.217086,-2.209129,0.033151,0.014563
2.7300,-0.272474,-2.197175,-0.175418,-0.220695,-2.138025,0.051779,0.059150
2.7400,-0.294446,-2.168578,-0.377343,-0.281287,-2.215770,0.013159,-0.047192
2.7500,-0.316132,-2.137940,-0.220900,-0.279516,-2.124435,0.036616,0.013505
2.7600,-0.337511,-2.105303,-0.402477,-0.330247,-2.171538,0.007264,-0.066235
2.7700,-0.358564,-2.070713,-0.365591,-0.355913,-2.147784,0.002651,-0.077071
2.7800,-0.379271,-2.034216,-0.294179,-0.353267,-2.048948,0.026004,-0.014731
2.7900,-0.399613,-1.995861,-0.297875,-0.351757,-1.955930,0.047856,0.039931
2.8000,-0.419572,-1.955698,-0.390224,-0.376798,-1.934389,0.042774,0.021309
2.8100,-0.439129,-1.913780,-0.430320,-0.406052,-1.922068,0.033077,-0.008288
2.8200,-0.458267,-1.870159,-0.484017,-0.442305,-1.925615,0.015962,-0.055456
2.8300,-0.476968,-1.824890,-0.453597,-0.459252,-1.875700,0.017717,-0.050811
